,Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight (US Headquarters Only),Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location
2511,Klever,https://www.crunchbase.com/organization/klever-io,Seed Round - Klever,https://www.crunchbase.com/funding_round/klever-io-seed--f69d575a,1000000.0,USD,1000000.0,Seed,"Blockchain, Cryptocurrency, FinTech, Service Industry",2018-08-01,,,Seed,200000.0,USD,200000.0,,,,Yes,Klever is a Cryptocurrency Platform.,,https://klever.io,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
2512,dLieve,https://www.crunchbase.com/organization/dlieve,Seed Round - dLieve,https://www.crunchbase.com/funding_round/dlieve-seed--642641af,400000.0,USD,400000.0,Seed,"Apps, E-Commerce, Internet, iOS, Logistics, Mobile Apps, Social Media, Software, Transportation",2018-08-01,,Bossanova Investimentos,Seed,200000.0,USD,200000.0,2000000.0,USD,2000000.0,Yes,"dLieve is an automated, personalized system that allows users to create efficient route plans while monitoring drivers.",,https://www.dlieve.com,$1M to $10M,M&A,2,"São Paulo, Sao Paulo, Brazil, South America"
2513,Deskfy,https://www.crunchbase.com/organization/deskfy,Pre Seed Round - Deskfy,https://www.crunchbase.com/funding_round/deskfy-pre-seed--cd0c6ca8,2310000.0,BRL,533336.0,Pre-Seed,"Cloud Computing, Marketing, Marketing Automation, SaaS, Sales",2018-08-01,,DMZ,Seed,550000.0,BRL,146705.0,,,,Yes,Deskfy is a SaaS solution focused on optimizing daily processes for marketing teams.,,https://deskfy.io/,Less than $1M,Seed,4,"São Leopoldo, Rio Grande do Sul, Brazil, South America"
2514,Apura,https://www.crunchbase.com/organization/apura,Seed Round - Apura,https://www.crunchbase.com/funding_round/apura-seed--5a765062,,USD,,Seed,"Cyber Security, Digital Media, Risk Management",2018-08-01,Cedro Capital,Cedro Capital,Seed,,,,,,,Yes,Apura is a Brazilian company of professionals with over 15 years of experience in cybersecurity and research in digital media. ,,http://apura.com.br,$1M to $10M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
2515,Arpac Drones,https://www.crunchbase.com/organization/aeronvaes-remotamente-pilotadas-de-alta-capacidade,Seed Round - Arpac Drones,https://www.crunchbase.com/funding_round/aeronvaes-remotamente-pilotadas-de-alta-capacidade-seed--46eabadb,9400000.0,BRL,1817382.0,Seed,"Agriculture, AgTech, Drones, Geospatial, Hardware",2018-08-01,,B Venture Capital,Seed,,,,,,,Yes,ARPAC delivers important results in pest control through their own research and development of their aircraft.,,http://www.arpacbrasil.com.br/,$1M to $10M,,5,"São Leopoldo, Rio Grande do Sul, Brazil, South America"
2516,Uello,https://www.crunchbase.com/organization/uello,Seed Round - Uello,https://www.crunchbase.com/funding_round/uello-seed--d96cbeab,8482566.0,USD,8482566.0,Seed,"Delivery, E-Commerce, Last Mile Transportation, Logistics, Supply Chain Management",2018-08-01,Hindiana,"Hindiana, Sequoia Logistica",Seed,5450000.0,BRL,1453720.0,,,,Yes,Uello uses technology to solve a very difficult problem that is still old fashioned approached - The Urban Logistics market.,,https://www.uello.com.br,$1M to $10M,M&A,4,"São Paulo, Sao Paulo, Brazil, South America"
2517,Receiv,https://www.crunchbase.com/organization/revict,Pre Seed Round - Receiv,https://www.crunchbase.com/funding_round/revict-pre-seed--90abb0e5,,USD,,Pre-Seed,"Business Intelligence, Information Technology, Software",2018-08-01,,Darwin Startups,Seed,,,,,,,Yes,Plataforma de cobrança e contas a receber | Intelligent accounts receivable system,,https://www.receiv.it,,,3,"São Paulo, Sao Paulo, Brazil, South America"
2518,Digibee,https://www.crunchbase.com/organization/digibee,Pre Seed Round - Digibee,https://www.crunchbase.com/funding_round/digibee-pre-seed--2fba6699,99278764.0,USD,99278764.0,Pre-Seed,"B2B, Information and Communications Technology (ICT), PaaS, SaaS",2018-08-01,GAA Investments,"GAA Investments, Paulo Veras",Seed,1000000.0,USD,1000000.0,,,,Yes,Digibee is an enterprise integration platform-as-a-service (eiPaaS) that accelerates digital transformation efforts.,,https://www.digibee.com,$50M to $100M,Early Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America"
2519,Alymente,https://www.crunchbase.com/organization/alymente,Pre Seed Round - Alymente,https://www.crunchbase.com/funding_round/alymente-pre-seed--ed005851,250000.0,USD,250000.0,Pre-Seed,"Employee Benefits, Financial Services, FinTech, Human Resources, Mobile Payments, Payments",2018-08-01,,,Seed,250000.0,USD,250000.0,1416667.0,USD,1416667.0,Yes,"Alymente is a platform that offers diverse benefits for employees, giving them liberty to transfer money between them.",,https://alymente.com.br,Less than $1M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
2520,Horus Aeronaves,https://www.crunchbase.com/organization/horus-aeronaves,Equity Crowdfunding - Horus Aeronaves,https://www.crunchbase.com/funding_round/horus-aeronaves-equity-crowdfunding--3735ae82,9000000.0,BRL,2277900.0,Equity Crowdfunding,"Aerospace, Agriculture, Air Transportation, Drones, Manufacturing",2018-08-01,EqSeed,EqSeed,,2000000.0,BRL,533475.0,,,,Yes,"Horus Aeronaves develops aerial solutions, with national manufacturing of VANTs for aerial mapping and image processing platform.",,http://horusaeronaves.com/,Less than $1M,,5,"Florianópolis, Santa Catarina, Brazil, South America"
2521,PhoneTrack,https://www.crunchbase.com/organization/phonetrack,Seed Round - PhoneTrack,https://www.crunchbase.com/funding_round/phonetrack-seed--62e2424c,4000000.0,BRL,997689.0,Seed,"Analytics, Big Data, Information Technology, Marketing, Software",2018-08-01,,"Caravela Capital, Invisto",Seed,3000000.0,BRL,800213.0,,,,Yes,"PhoneTrack is a platform for conversational intelligence that measures, analyzes, and qualifies voice data.",,http://www.phonetrack.com.br,,Seed,3,"Curitiba, Parana, Brazil, South America"
2522,SmartPills,https://www.crunchbase.com/organization/smartpills,Grant - SmartPills,https://www.crunchbase.com/funding_round/smartpills-grant--17e6a40b,300000.0,USD,300000.0,Grant,"Health Care, Mobile Apps, SaaS",2018-08-01,,Fundação de Amparo à Pesquisa do Estado de SP,,120000.0,USD,120000.0,,,,No,"SaaS, Mobile app, IoT, Device, Healthcare, Contraceptive Pills, Subscription",,http://www.smartpills.com.br,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
2523,InstaCarro,https://www.crunchbase.com/organization/instacarrro-com,Series A - InstaCarro,https://www.crunchbase.com/funding_round/instacarrro-com-series-a--6e08e24e,66602633.0,USD,66602633.0,Series A,"Automotive, Direct Sales, E-Commerce",2018-07-31,,"FJ Labs, Global Founders Capital, Hummingbird Ventures, J Ventures, Lumia Capital, Rise Capital, Tekton Ventures",Early Stage Venture,7500000.0,USD,7500000.0,,,,Yes,InstaCarro is a car buying and selling service in Brazil that offers a possibility of selling cars in up to one hour.,,https://www.instacarro.com/,$10M to $50M,,13,"São Paulo, Sao Paulo, Brazil, South America"
2524,TESTR,https://www.crunchbase.com/organization/testr,Seed Round - TESTR,https://www.crunchbase.com/funding_round/testr-seed--b3a2daa3,,USD,,Seed,"Communities, Consumer Research, Crowdsourcing, E-Commerce, Health Care, Internet, Lifestyle, Usability Testing",2018-07-31,ACE Ventures,ACE Ventures,Seed,,,,,,,Yes,TESTR is a tryvertising platform that gives a unique opportunity to sample a wide range of products needed in everyday life.,,http://testr.com.br/,Less than $1M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
2525,Iguá Saneamento,https://www.crunchbase.com/organization/iguá-saneamento,Private Equity Round - Iguá Saneamento,https://www.crunchbase.com/funding_round/iguá-saneamento-private-equity--7c2e4b33,903846167.0,USD,903846167.0,Private Equity,"Environmental Consulting, Water",2018-07-31,,"Alberta Investment Management, IG4 Capital",Private Equity,107000000.0,USD,107000000.0,,,,Yes,Iguá Saneamento is a Brazilian water and sewage services company.,,https://www.igua.com.br,,Private Equity,2,"São Paulo, Sao Paulo, Brazil, South America"
2526,OneGrid,https://www.crunchbase.com/organization/onegrid,Series A - OneGrid,https://www.crunchbase.com/funding_round/onegrid-series-a--d47814f9,2000000.0,BRL,536250.0,Series A,"Energy, Energy Management, Information Technology, Renewable Energy, Software",2018-07-30,,Inseed Investimentos,Early Stage Venture,2000000.0,BRL,536250.0,,,,Yes,OneGrid is a developer of hardware and software solutions focused on energy management.,,https://onegrid.com.br,,Early Stage Venture,2,"Vila Velha, Espirito Santo, Brazil, South America"
2527,Portfy,https://www.crunchbase.com/organization/portfy,Non Equity Assistance - Portfy,https://www.crunchbase.com/funding_round/portfy-non-equity-assistance--34590446,63000.0,USD,63000.0,Non-equity Assistance,"Financial Services, FinTech",2018-07-24,,,,63000.0,USD,63000.0,,,,No,Portfy is a financial technology company dedicated to helping people reduce the cost of their debt through credit portability.,,https://www.portfy.com.br,,,1,"São Paulo, Sao Paulo, Brazil, South America"
2528,Confere,https://www.crunchbase.com/organization/confere,Non Equity Assistance - Confere,https://www.crunchbase.com/funding_round/confere-non-equity-assistance--649e63b6,63000.0,USD,63000.0,Non-equity Assistance,"Banking, Sales, Small and Medium Businesses",2018-07-24,Google for Startups,Google for Startups,,63000.0,USD,63000.0,,,,No,Confere is a sales and banking reconciliation platform that helps small and medium businesses better manage their sales and financial costs.,,https://www.conferecartoes.com.br,,,1,"São Paulo, Sao Paulo, Brazil, South America"
2529,Incentive.me,https://www.crunchbase.com/organization/incentive-me,Non Equity Assistance - Incentive.me,https://www.crunchbase.com/funding_round/incentive-me-non-equity-assistance--fd739ae6,2143000.0,USD,2143000.0,Non-equity Assistance,"B2B, CRM, E-Commerce, Information Technology, Payments, Software",2018-07-24,,,,63000.0,USD,63000.0,,,,No,"Incentive-me is an incentive, engagement and loyalty platform that connects businesses, vendors and consumers.",,https://incentive.me/,$1M to $10M,Seed,2,"Rio De Janeiro, Rio de Janeiro, Brazil, South America"
2530,Murabei Data Science,https://www.crunchbase.com/organization/murabei-data-science,Non Equity Assistance - Murabei Data Science,https://www.crunchbase.com/funding_round/murabei-data-science-non-equity-assistance--e5981dae,,USD,,Non-equity Assistance,"Analytics, Artificial Intelligence (AI), Consulting, Incubators, Machine Learning, Predictive Analytics",2018-07-24,,,,,,,,,,No,Murabei is a data science startup that develops machine learning models based on large volumes of information.,,https://www.murabei.com,,,1,"São Paulo, Sao Paulo, Brazil, South America"
2531,dod,https://www.crunchbase.com/organization/dod-f518,Non Equity Assistance - dod,https://www.crunchbase.com/funding_round/dod-f518-non-equity-assistance--932aa94b,123000.0,USD,123000.0,Non-equity Assistance,"Consulting, Information Services, Information Technology, Management Consulting",2018-07-24,,,,63000.0,USD,63000.0,,,,No,"dod measures the customer service and sales of a physical store, identifying gender, age and consumer reaction with the product and service.",,https://dodvision.com,,Seed,3,"Curitiba, Parana, Brazil, South America"
2532,Nexoos,https://www.crunchbase.com/organization/nexoos,Seed Round - Nexoos,https://www.crunchbase.com/funding_round/nexoos-seed--6c51b3ca,530000.0,USD,530000.0,Seed,"Artificial Intelligence (AI), Financial Services, FinTech, Lending, Marketplace, Software",2018-07-24,Loyall Capital Partners,Loyall Capital Partners,Seed,530000.0,USD,530000.0,,,,Yes,Nexoos is a marketplace lending platform that provides business loans by matching investors with quality businesses.,,http://www.nexoos.com.br/,$1M to $10M,M&A,4,"São Paulo, Sao Paulo, Brazil, South America"
2533,goLiza,https://www.crunchbase.com/organization/goliza,Non Equity Assistance - goLiza,https://www.crunchbase.com/funding_round/goliza-non-equity-assistance--eff0c65a,120041.0,USD,120041.0,Non-equity Assistance,"Asset Management, B2B, Business Information Systems, Digital Media, Information Services, Information Technology, SaaS",2018-07-24,,,,63000.0,USD,63000.0,,,,No,SaaS platform for registration and company's approval power information when performing capital market operations,,http://www.goliza.com.br,,Seed,4,"São Paulo, Sao Paulo, Brazil, South America"
2534,Liuv,https://www.crunchbase.com/organization/liuv,Non Equity Assistance - Liuv,https://www.crunchbase.com/funding_round/liuv-non-equity-assistance--423fecc2,2073732.0,USD,2073732.0,Non-equity Assistance,"Apps, E-Commerce, Loyalty Programs, Mobile Payments",2018-07-24,,Visa,,63000.0,USD,63000.0,,,,No,Liuv is a startup designed to simplify day-to-day loyalty programs using app's mobile.,,https://www.liuv.it/,Less than $1M,Early Stage Venture,3,"São Paulo, Sao Paulo, Brazil, South America"
2535,Neomode,https://www.crunchbase.com/organization/neomode,Non Equity Assistance - Neomode,https://www.crunchbase.com/funding_round/neomode-non-equity-assistance--e42dd446,814323.0,USD,814323.0,Non-equity Assistance,"Mobile, Retail Technology, SaaS",2018-07-24,,,,63000.0,USD,63000.0,1500000.0,USD,1500000.0,No,Neomode is a omnichannel platform that connects online retail channels with physical store,,http://neomode.com.br,$1M to $10M,Seed,4,"Pinheiros, Sao Paulo, Brazil, South America"
2536,Binds.co,https://www.crunchbase.com/organization/binds-co,Non Equity Assistance - Binds.co,https://www.crunchbase.com/funding_round/binds-co-non-equity-assistance--5fcd1df1,63000.0,USD,63000.0,Non-equity Assistance,"Computer, Software",2018-07-24,,,,63000.0,USD,63000.0,,,,No,Binds is a cloud platform that tracks real-time brand reputation and opinion on services and products.,,https://binds.co,,,1,"São Paulo, Sao Paulo, Brazil, South America"
2537,Postmetria,https://www.crunchbase.com/organization/postmetria,Non Equity Assistance - Postmetria,https://www.crunchbase.com/funding_round/postmetria-non-equity-assistance--e36e99aa,565460.0,USD,565460.0,Non-equity Assistance,"Big Data, Market Research, Social Network, Software",2018-07-24,,,,63000.0,USD,63000.0,,,,No,Postmetria is an online platform for monitoring customer satisfaction with the Spontaneous NPS metric.,,http://www.postmetria.com.br,Less than $1M,Seed,4,"Porto Alegre, Rio Grande do Sul, Brazil, South America"
2538,Gaio,https://www.crunchbase.com/organization/gaio,Non Equity Assistance - Gaio,https://www.crunchbase.com/funding_round/gaio-non-equity-assistance--3c743bb6,63000.0,USD,63000.0,Non-equity Assistance,"Analytics, Computer, Data Visualization, Software",2018-07-24,,,,63000.0,USD,63000.0,,,,No,Gaio empowers analytics by given then access to advanced analysis without coding.,,http://gaio.io/,$1M to $10M,,1,"Uberlândia, Minas Gerais, Brazil, South America"
2539,Contraktor,https://www.crunchbase.com/organization/contraktor,Non Equity Assistance - Contraktor,https://www.crunchbase.com/funding_round/contraktor-non-equity-assistance--9415f8e3,677417.0,USD,677417.0,Non-equity Assistance,"Artificial Intelligence (AI), Document Management, Document Preparation, E-Signature, Legal Tech, Natural Language Processing, SaaS, Text Analytics",2018-07-24,,,,63000.0,USD,63000.0,625000.0,USD,625000.0,No,"SaaS, CLM, artificial intelligence, e-signature, contract management, contract analytics, data extraction",,https://www.contraktor.com.br/,$1M to $10M,Seed,5,"Curitiba, Parana, Brazil, South America"
2540,Umani,https://www.crunchbase.com/organization/umani,Non Equity Assistance - Umani,https://www.crunchbase.com/funding_round/umani-non-equity-assistance--8b07102d,63000.0,USD,63000.0,Non-equity Assistance,"Business Development, Business Information Systems, Consulting, Insurance, Service Industry",2018-07-24,,,,63000.0,USD,63000.0,,,,No,Umani is a Insurance Broker.,,https://www.umaniseguros.com.br,$1M to $10M,,1,"Belo Horizonte, Minas Gerais, Brazil, South America"
2541,Pegaki,https://www.crunchbase.com/organization/pegaki,Equity Crowdfunding - Pegaki,https://www.crunchbase.com/funding_round/pegaki-equity-crowdfunding--261973f4,1660000.0,BRL,456938.0,Equity Crowdfunding,"E-Commerce, Information Technology, Logistics, Supply Chain Management",2018-07-23,EqSeed,EqSeed,,1200000.0,BRL,317299.0,,,,Yes,Pegaki is a network of withdrawal points for products purchased over the internet. ,,http://pegaki.com.br/,Less than $1M,M&A,3,"Blumenau, Santa Catarina, Brazil, South America"
2542,Licentia,https://www.crunchbase.com/organization/licentia,Pre Seed Round - Licentia,https://www.crunchbase.com/funding_round/licentia-pre-seed--6728c7d3,,USD,,Pre-Seed,,2018-07-20,BMG UpTech,"BMG UpTech, Bossanova Investimentos",Seed,,,,,,,Yes,"LicenTIa combines environmental consulting, innovation, and information technology.",,https://www.licentia.digital/,,Seed,1,"Florianópolis, Santa Catarina, Brazil, South America"
2543,Tarvos,https://www.crunchbase.com/organization/iagro,Convertible Note - Tarvos,https://www.crunchbase.com/funding_round/iagro-convertible-note--6cbb5c04,8764143.0,BRL,1822915.0,Convertible Note,"Agriculture, AgTech, Farming, Internet of Things, Software",2018-07-20,ACE Ventures,ACE Ventures,,150000.0,BRL,39816.0,,,,No,Tarvos is an automated insect monitoring platform with real-time insights from smart traps.,,https://tarvos.ag,$1M to $10M,Seed,9,"Brasil, Sao Paulo, Brazil, South America"
2544,Ribon,https://www.crunchbase.com/organization/ribon,Grant - Ribon,https://www.crunchbase.com/funding_round/ribon-grant--be720460,4424430.0,USD,4424430.0,Grant,"Apps, Blockchain, Charity, Financial Services, FinTech, Information Technology, Non Profit, Service Industry, Social Impact",2018-07-15,,,,150000.0,BRL,38951.0,,,,No,Ribon uses donations to generate new donors,,https://www.ribon.io/,Less than $1M,Seed,5,"Brasil, Sao Paulo, Brazil, South America"
2545,Movile,https://www.crunchbase.com/organization/movile-latin-america,Series I - Movile,https://www.crunchbase.com/funding_round/movile-latin-america-series-i--d15d8472,588195649.0,USD,588195649.0,Series I,"E-Commerce, Financial Services, Information Services, Information Technology, Mobile",2018-07-12,Prosus & Naspers,"Innova Capital, Prosus & Naspers",Late Stage Venture,124000000.0,USD,124000000.0,876000000.0,USD,876000000.0,Yes,Movile is a Brazilian venture capital investment firm that invests in content distribution platforms.,,https://www.movile.com,$500M to $1B,,10,"Campina, Sao Paulo, Brazil, South America"
2546,Kanttum,https://www.crunchbase.com/organization/kanttum,Seed Round - Kanttum,https://www.crunchbase.com/funding_round/kanttum-seed--55e607e6,1600000.0,BRL,412114.0,Seed,"Corporate Training, Education, Information Technology",2018-07-12,Cedro Capital,Cedro Capital,Seed,1600000.0,BRL,412114.0,,,,Yes,Kanttum is a Brazilian startup focused on the idealization and construction of products and services.,,https://kanttum.com.br/,,M&A,1,"Uberlândia, Minas Gerais, Brazil, South America"
2547,Aterra Ambiental,https://www.crunchbase.com/organization/aterra-ambiental,Pre Seed Round - Aterra Ambiental,https://www.crunchbase.com/funding_round/aterra-ambiental-pre-seed--4a3b2b25,,USD,,Pre-Seed,,2018-07-10,Bossanova Investimentos,"BMG UpTech, Bossanova Investimentos",Seed,,,,,,,Yes,Aterra Ambiental provides waste management consulting services.,,https://aterraambiental.com/,,Seed,1,"Belo Horizonte, Minas Gerais, Brazil, South America"
2548,Recicla.Club,https://www.crunchbase.com/organization/recicla-club,Pre Seed Round - Recicla.Club,https://www.crunchbase.com/funding_round/recicla-club-pre-seed--8ef27c80,,USD,,Pre-Seed,,2018-07-10,Bossanova Investimentos,"BMG UpTech, Bossanova Investimentos",Seed,,,,,,,Yes,"Otimização de processos de descarte, reduzindo custos para as empresas e preservando o meio ambiente.",,https://recicla.club/,,Seed,1,"Belo Horizonte, Minas Gerais, Brazil, South America"
2549,Rebel,https://www.crunchbase.com/organization/rebel-e614,Series A - Rebel,https://www.crunchbase.com/funding_round/rebel-e614-series-a--7a172819,62111288.0,USD,62111288.0,Series A,"Blockchain, Consumer Lending, Credit, Financial Services, FinTech, Personal Finance",2018-07-10,XP Inc,"monashees, XP Inc",Early Stage Venture,20000000.0,BRL,5240113.0,,,,Yes,"Alternative Online Lending, FinTech, online credit, Personal financial management",,http://www.rebel.com.br,$1M to $10M,Early Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America"
2550,Numenu,https://www.crunchbase.com/organization/numenu,Angel Round - Numenu,https://www.crunchbase.com/funding_round/numenu-angel--4910ec79,1045000.0,BRL,253995.0,Angel,"Apps, Mobile, Retail, Retail Technology",2018-07-10,,Bossanova Investimentos,Seed,120000.0,BRL,31440.0,,,,Yes,Numenu is an online platform that allows residents to make purchases within ground floor of their residential condominiums.,,https://www.numenu.info,,M&A,3,"São Paulo, Sao Paulo, Brazil, South America"
2551,Arbache Innovations,https://www.crunchbase.com/organization/arbache-innovations,Pre Seed Round - Arbache Innovations,https://www.crunchbase.com/funding_round/arbache-innovations-pre-seed--1517592f,,USD,,Pre-Seed,,2018-07-10,BMG UpTech,"BMG UpTech, Bossanova Investimentos",Seed,,,,,,,Yes,"A Arbache Innovations existe para te ajudar a revolucionar o seu RH. Unimos gamificação, ciência, IA e storytelling em treinamentos",,https://arbache.com/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
2552,RT Medical Systems,https://www.crunchbase.com/organization/rt-medical-systems,Pre Seed Round - RT Medical Systems,https://www.crunchbase.com/funding_round/rt-medical-systems-pre-seed--a80ed276,109000.0,USD,109000.0,Pre-Seed,"Electronic Health Record (EHR), Health Care, Health Diagnostics, Medical, Medical Device, Software",2018-07-04,,,Seed,109000.0,USD,109000.0,,,,Yes,"RT Medical Systems offers management systems, centralization of information, and verification of radiotherapy treatment.",,https://rtmedical.com.br/,,Seed,1,"Florianópolis, Santa Catarina, Brazil, South America"
2553,Aware Logistics,https://www.crunchbase.com/organization/aware-logistics,Seed Round - Aware Logistics,https://www.crunchbase.com/funding_round/aware-logistics-seed--e0acdad8,,USD,,Seed,Software,2018-07-04,,"BMG UpTech, Bossanova Investimentos",Seed,,,,,,,Yes,Logistic Tecnology Saas,,https://www.awarelog.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
2554,DAYBACK,https://www.crunchbase.com/organization/dayback,Pre Seed Round - DAYBACK,https://www.crunchbase.com/funding_round/dayback-pre-seed--38caf119,370000.0,BRL,110329.0,Pre-Seed,Energy,2018-07-04,,"BMG UpTech, Bossanova Investimentos",Seed,,,,,,,Yes,"DAYBACK is a energy player with a focus on products for commercial customers, with wind turbines, SaaS and SFV.",,http://www.dayback.com.br/,,Seed,3,"Florianópolis, Santa Catarina, Brazil, South America"
2555,Motoboy.com,https://www.crunchbase.com/organization/motoboy-com,Pre Seed Round - Motoboy.com,https://www.crunchbase.com/funding_round/motoboy-com-pre-seed--b1f2f5d6,,USD,,Pre-Seed,"Courier Service, Last Mile Transportation, Logistics",2018-07-04,BMG UpTech,"BMG UpTech, Bossanova Investimentos",Seed,,,,,,,Yes,Ultra-fast delivery platform that connects companies to independent professionals to deliver products and documents within 2 hours.,,https://www.motoboy.com/,,Seed,2,"Joinville, Santa Catarina, Brazil, South America"
2556,Fina Facil,https://www.crunchbase.com/organization/fina-facil,Pre Seed Round - Fina Facil,https://www.crunchbase.com/funding_round/fina-facil-pre-seed--66fb8af5,,USD,,Pre-Seed,,2018-07-04,,Bossanova Investimentos,Seed,,,,,,,Yes,"A Fina nasceu para facilitar a vida do pequeno empresário e profissional autônomo que necessita de crédito rápido, simples e seguro.",,https://www.finafacil.com/,,Seed,1,"Belo Horizonte, Minas Gerais, Brazil, South America"
2557,SUIV,https://www.crunchbase.com/organization/suiv,Pre Seed Round - SUIV,https://www.crunchbase.com/funding_round/suiv-pre-seed--d2a8cce7,,USD,,Pre-Seed,,2018-07-04,,"BMG UpTech, Bossanova Investimentos",Seed,,,,,,,Yes,SUIV is a technological platform for automotive technical databases.,,https://www.suiv.com.br/,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America"
2558,Hilab,https://www.crunchbase.com/organization/hi-technologies-holding,Series A - Hilab,https://www.crunchbase.com/funding_round/hi-technologies-holding-series-a--8cf17001,27766682.0,USD,27766682.0,Series A,"Health Care, Information Technology, Medical Device",2018-07-03,monashees,"monashees, Qualcomm Ventures",Early Stage Venture,3875370.0,USD,3875370.0,,,,Yes,Hilab is a technology company that develops biomedical equipment and telemedicine technology for the humanization of health care.,,https://fazumhilab.com.br/,$1M to $10M,,6,"Curitiba, Parana, Brazil, South America"
2559,100 Open Startups,https://www.crunchbase.com/organization/100-open-startups,Pre Seed Round - 100 Open Startups,https://www.crunchbase.com/funding_round/100-open-startups-pre-seed--9fd62a83,7000000.0,BRL,1468348.0,Pre-Seed,Information Technology,2018-07-02,,,Seed,2000000.0,BRL,510979.0,,,,Yes,100 Open Startups is a digital platform that uses technology and data to facilitate the co-creation of businesses.,,https://www.openstartups.net/site/,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America"
2560,N2B Brasil,https://www.crunchbase.com/organization/n2b-brasil,Non Equity Assistance - N2B Brasil,https://www.crunchbase.com/funding_round/n2b-brasil-non-equity-assistance--a84610a4,,USD,,Non-equity Assistance,"Health Care, Human Resources, Nutrition, Personal Health, SaaS",2018-07-01,Google for Startups,Google for Startups,,,,,,,,No,"N2B is a healthcare SaaS that offers a nutritional program, delivering to each user the experience of having a nutritionist.",,https://n2bbrasil.com/,,M&A,2,"Brasil, Sao Paulo, Brazil, South America"
2561,Ali Credito,https://www.crunchbase.com/organization/ali-credito,Pre Seed Round - Ali Credito,https://www.crunchbase.com/funding_round/ali-credito-pre-seed--4a2ed3c2,25911210.0,USD,25911210.0,Pre-Seed,"Financial Services, FinTech, Information Technology",2018-07-01,,,Seed,750000.0,USD,750000.0,,,,Yes,Ali Credito is a credit platform for Individuals that grants personal credit and direct consumer credit.,,http://www.alicredito.com.br,$1M to $10M,Early Stage Venture,5,"São Paulo, Sao Paulo, Brazil, South America"
2562,Fohat,https://www.crunchbase.com/organization/fohat,Seed Round - Fohat,https://www.crunchbase.com/funding_round/fohat-seed--5b0fd5ab,10571500.0,BRL,2480051.0,Seed,"Blockchain, Energy, Energy Management, Intelligent Systems, Renewable Energy",2018-07-01,Cassiano Machado Silva,"Carlos Pacheco, Cassiano Machado Silva, Lactec, Luiz Henrique Guetter Bohatch, Startupbootcamp Australia",Seed,3688500.0,BRL,951346.0,,,,Yes,A holding company focused on Energy Intelligence for the energy sector.,,http://www.fohat.co,Less than $1M,Seed,7,"Curitiba, Parana, Brazil, South America"
2563,Beaver Soluções Tecnológicas,https://www.crunchbase.com/organization/beaver-soluções-tecnológicas,Non Equity Assistance - Beaver Soluções Tecnológicas,https://www.crunchbase.com/funding_round/beaver-soluções-tecnológicas-non-equity-assistance--6864c00e,2368398.0,USD,2368398.0,Non-equity Assistance,"Artificial Intelligence (AI), B2B, Credit, Information Technology, Legal Tech, Machine Learning, Natural Language Processing, Real Estate, SaaS",2018-07-01,Google for Startups,Google for Startups,,,,,,,,No,Beaver is a AI platform that processes complex documents with NLP algorithms.,,http://www.beaver.com.br/,,,4,"São Paulo, Sao Paulo, Brazil, South America"
2564,Bailanina,https://www.crunchbase.com/organization/bailanina,Non Equity Assistance - Bailanina,https://www.crunchbase.com/funding_round/bailanina-non-equity-assistance--1ffb7750,,USD,,Non-equity Assistance,"Children, Fashion, Rental",2018-07-01,,Google for Startups,,,,,,,,No,Bailanina is a children's clothing rental company that offers clothes from major brands rented for a fraction of the original price.,,http://bailanina.com.br/,,,1,"São Paulo, Sao Paulo, Brazil, South America"
2565,TerraMagna,https://www.crunchbase.com/organization/terramagna,Non Equity Assistance - TerraMagna,https://www.crunchbase.com/funding_round/terramagna-non-equity-assistance--209cfb91,42760000.0,USD,42760000.0,Non-equity Assistance,"AgTech, Banking, Big Data, Commercial Lending, Financial Services, FinTech, Lending",2018-07-01,Google for Startups,Google for Startups,,,,,,,,No,"We are leading B2B2F fintech in Latin America, offers agricultural finance via input retailers, empowering farmers & boosting food security",,https://www.terramagna.com.br,$10M to $50M,Early Stage Venture,6,"São José Dos Campos, Sao Paulo, Brazil, South America"
